d,null_late,late_min,not_late_min,late_pos,not_late_pos,very_late,not_very_late_lit,not_very_late_exhpos,not_very_late_exhmin
-21,-5.42652362619872,-Inf,-4.73337644563877,-Inf,-5.16627136646509,-Inf,-5.22342543230422,-Inf,-Inf
-20.8,-5.38472362619872,-Inf,-4.69157644563877,-Inf,-5.12447145004694,-Inf,-5.18162514838893,-Inf,-Inf
-20.6,-5.34332362619872,-Inf,-4.65017644563877,-Inf,-5.08307153282896,-Inf,-5.14022486719053,-Inf,-Inf
-20.4,-5.30232362619872,-Inf,-4.60917644563877,-Inf,-5.04207161481115,-Inf,-5.09922458870903,-Inf,-Inf
-20.2,-5.26172362619872,-Inf,-4.56857644563877,-Inf,-5.00147169599352,-Inf,-5.05862431294442,-Inf,-Inf
-20,-5.22152362619872,-Inf,-4.52837644563877,-Inf,-4.96127177637606,-Inf,-5.01842403989671,-Inf,-Inf
-19.8,-5.18172362619872,-Inf,-4.48857644563877,-Inf,-4.92147185595877,-Inf,-4.97862376956588,-Inf,-Inf
-19.6,-5.14232362619872,-Inf,-4.44917644563877,-Inf,-4.88207193474166,-Inf,-4.93922350195195,-Inf,-Inf
-19.4,-5.10332362619872,-Inf,-4.41017644563877,-Inf,-4.84307201051231,-Inf,-4.90022323705491,-Inf,-Inf
-19.2,-5.06472362619872,-Inf,-4.37157644563877,-Inf,-4.80447208771231,-Inf,-4.86162297487477,-Inf,-Inf
-19,-5.02652362619872,-Inf,-4.33337644563877,-Inf,-4.76627216411232,-Inf,-4.82342271541151,-Inf,-Inf
-18.8,-4.98872362619872,-Inf,-4.29557644563877,-Inf,-4.72847223971232,-Inf,-4.78562245866515,-Inf,-Inf
-18.6,-4.95132362619872,-Inf,-4.25817644563877,-Inf,-4.69107231451233,-Inf,-4.74822220463569,-Inf,-Inf
-18.4,-4.91432362619872,-Inf,-4.22117644563877,-Inf,-4.65407238851233,-Inf,-4.71122187879363,-Inf,-Inf
-18.2,-4.87772362619872,-Inf,-4.18457644563877,-Inf,-4.61747246171233,-Inf,-4.67462163078459,-Inf,-Inf
-18,-4.84152362619872,-Inf,-4.14837644563877,-Inf,-4.58127253411234,-Inf,-4.63842138548602,-Inf,-Inf
-17.8,-4.80572362619872,-Inf,-4.11257644563877,-Inf,-4.54547260571234,-Inf,-4.60262114289794,-Inf,-Inf
-17.6,-4.77032362619872,-Inf,-4.07717644563877,-Inf,-4.51007267651234,-Inf,-4.56722090302035,-Inf,-Inf
-17.4,-4.73532362619872,-Inf,-4.04217644563877,-Inf,-4.47507274651235,-Inf,-4.53222066585323,-Inf,-Inf
-17.2,-4.70072362619872,-Inf,-4.00757644563877,-Inf,-4.44047281571235,-Inf,-4.49762043139659,-Inf,-Inf
-17,-4.66652362619872,-Inf,-3.97337644563877,-Inf,-4.40627288411235,-Inf,-4.46342019965043,-Inf,-Inf
-16.8,-4.63272362619872,-Inf,-3.93957644563877,-Inf,-4.37247295171236,-Inf,-4.42961997061476,-Inf,-Inf
-16.6,-4.59932362619872,-Inf,-3.90617644563877,-Inf,-4.33907301851236,-Inf,-4.39621974428956,-Inf,-Inf
-16.4,-4.56632362619872,-Inf,-3.87317644563877,-Inf,-4.30607308451236,-Inf,-4.36321952067485,-Inf,-Inf
-16.2,-4.53372362619872,-Inf,-3.84057644563877,-Inf,-4.27347314971237,-Inf,-4.33061929977062,-Inf,-Inf
-16,-4.50152362619872,-Inf,-3.80837644563877,-Inf,-4.24127321411237,-Inf,-4.29841908157687,-Inf,-Inf
-15.8,-4.46972362619872,-Inf,-3.77657644563877,-Inf,-4.20947327771237,-Inf,-4.26661886609361,-Inf,-Inf
-15.6,-4.43832362619872,-Inf,-3.74517644563877,-Inf,-4.17807334051238,-Inf,-4.23521865332082,-Inf,-Inf
-15.4,-4.40732362619872,-Inf,-3.71417644563877,-Inf,-4.14707340251238,-Inf,-4.20421844325851,-Inf,-Inf
-15.2,-4.37672362619872,-Inf,-3.68357644563877,-Inf,-4.11647346371238,-Inf,-4.17361823590669,-Inf,-Inf
-15,-4.34652362619872,-Inf,-3.65337644563877,-Inf,-4.08627352411239,-Inf,-4.14341803126535,-Inf,-Inf
-14.8,-4.31672362619872,-Inf,-3.62357644563877,-Inf,-4.05647358371239,-Inf,-4.11361782933449,-Inf,-Inf
-14.6,-4.28732362619872,-Inf,-3.59417644563877,-Inf,-4.02707364251239,-Inf,-4.08421763011411,-Inf,-Inf
-14.4,-4.25832362619872,-Inf,-3.56517644563877,-Inf,-3.9980737005124,-Inf,-4.05521743360421,-Inf,-Inf
-14.2,-4.22972362619872,-Inf,-3.53657644563877,-Inf,-3.9694737577124,-Inf,-4.02661796638813,-Inf,-Inf
-14,-4.20152362619872,-Inf,-3.50837644563877,-Inf,-3.9412738141124,-Inf,-3.99841777067461,-Inf,-Inf
-13.8,-4.17372362619872,-Inf,-3.48057644563877,-Inf,-3.9134738697124,-Inf,-3.97061757773716,-Inf,-Inf
-13.6,-4.14632362619872,-Inf,-3.45317644563877,-Inf,-3.88607392451241,-Inf,-3.94321738757579,-Inf,-Inf
-13.4,-4.11932362619872,-Inf,-3.42617644563877,-Inf,-3.85907397851241,-Inf,-3.9162172001905,-Inf,-Inf
-13.2,-4.09272362619872,-Inf,-3.39957644563877,-Inf,-3.83247403171241,-Inf,-3.88961701558129,-Inf,-Inf
-13,-4.06652362619872,-Inf,-3.37337644563877,-Inf,-3.80627408411241,-Inf,-3.86341683374815,-Inf,-Inf
-12.8,-4.04072362619872,-Inf,-3.34757644563877,-Inf,-3.78047413571242,-Inf,-3.8376166546911,-Inf,-Inf
-12.6,-4.01532362619872,-Inf,-3.32217644563877,-Inf,-3.75507418651242,-Inf,-3.81221647841012,-Inf,-Inf
-12.4,-3.99032362619872,-Inf,-3.29717644563877,-Inf,-3.73007423651242,-Inf,-3.78721630490523,-Inf,-Inf
-12.2,-3.96572362619872,-Inf,-3.27257644563877,-Inf,-3.70547428571242,-Inf,-3.76261613417641,-Inf,-Inf
-12,-3.94152362619872,-Inf,-3.24837644563877,-Inf,-3.68127433411243,-Inf,-3.73841596622366,-Inf,-Inf
-11.8,-3.91772362619872,-Inf,-3.22457644563877,-Inf,-3.65747438171243,-Inf,-3.714615801047,-Inf,-Inf
-11.6,-3.89432362619872,-Inf,-3.20117644563877,-Inf,-3.63407442851243,-Inf,-3.69121563864641,-Inf,-Inf
-11.4,-3.87132362619872,-Inf,-3.17817644563877,-Inf,-3.61107447451243,-Inf,-3.66821547902191,-Inf,-Inf
-11.2,-3.84872362619872,-Inf,-3.15557644563877,-Inf,-3.58847451971244,-Inf,-3.64561532217348,-Inf,-Inf
-11,-3.82652362619872,-Inf,-3.13337644563877,-Inf,-3.56627456411244,-Inf,-3.62341516810113,-Inf,-Inf
-10.8,-3.80472362619872,-Inf,-3.11157644563877,-Inf,-3.54447460771244,-Inf,-3.6016149966784,-Inf,-Inf
-10.6,-3.78332362619872,-Inf,-3.09017644563877,-Inf,-3.52307465051244,-Inf,-3.58021484829456,-Inf,-Inf
-10.4,-3.76232362619872,-Inf,-3.06917644563877,-Inf,-3.50207469251245,-Inf,-3.55921470268425,-Inf,-Inf
-10.2,-3.74172362619872,-Inf,-3.04857644563877,-Inf,-3.48147473371245,-Inf,-3.53861455984747,-Inf,-Inf
-10,-3.72152362619872,-Inf,-3.02837644563877,-Inf,-3.46127477411245,-Inf,-3.51841441978423,-Inf,-Inf
-9.8,-3.70172362619872,-Inf,-3.00857644563877,-Inf,-3.44147481371245,-Inf,-3.4986142824945,-Inf,-Inf
-9.6,-3.68232362619872,-Inf,-2.98917644563877,-Inf,-3.42207485251245,-Inf,-3.47921414797831,-Inf,-Inf
-9.4,-3.66332362619872,-Inf,-2.97017644563877,-Inf,-3.40307489051246,-Inf,-3.46021401623565,-Inf,-Inf
-9.2,-3.64472362619872,-Inf,-2.95157644563877,-Inf,-3.38447492771246,-Inf,-3.44161388726652,-Inf,-Inf
-9,-3.62652362619872,-Inf,-2.93337644563877,-Inf,-3.36627496411246,-Inf,-3.42341376107092,-Inf,-Inf
-8.8,-3.60872362619872,-Inf,-2.91557644563877,-Inf,-3.34847499971246,-Inf,-3.40561363764885,-Inf,-Inf
-8.6,-3.59132362619872,-Inf,-2.89817644563877,-Inf,-3.33107503451246,-Inf,-3.38821351700031,-Inf,-Inf
-8.4,-3.57432362619872,-Inf,-2.88117644563877,-Inf,-3.31407506851246,-Inf,-3.37121339912529,-Inf,-Inf
-8.2,-3.55772362619872,-Inf,-2.86457644563877,-Inf,-3.29747510171247,-Inf,-3.35461328402381,-Inf,-Inf
-8,-3.54152362619872,-Inf,-2.84837644563877,-Inf,-3.28127513411247,-Inf,-3.33841317169586,-Inf,-Inf
-7.8,-3.52572362619872,-Inf,-2.83257644563877,-Inf,-3.26547516571247,-Inf,-3.32261306214144,-Inf,-Inf
-7.6,-3.51032362619872,-Inf,-2.81717644563877,-Inf,-3.25007519651247,-Inf,-3.30721295536054,-Inf,-Inf
-7.4,-3.49532362619872,-Inf,-2.80217644563877,-Inf,-3.23507522651247,-Inf,-3.29221285135318,-Inf,-Inf
-7.2,-3.4807236261987202,-Inf,-2.78757644563877,-Inf,-3.22047525571247,-Inf,-3.27761275011935,-Inf,-Inf
-7,-3.46652362619872,-Inf,-2.77337644563877,-Inf,-3.20627528411248,-Inf,-3.26341265165904,-Inf,-Inf
-6.8,-3.45272362619872,-Inf,-2.75957644563877,-Inf,-3.19247531171248,-Inf,-3.24961255597227,-Inf,-Inf
-6.6,-3.43932362619872,-Inf,-2.74617644563877,-Inf,-3.17907533851248,-Inf,-3.23621246305902,-Inf,-Inf
-6.4,-3.42632362619872,-Inf,-2.73317644563877,-Inf,-3.16607536451248,-Inf,-3.22321237291931,-Inf,-Inf
-6.2,-3.41372362619872,-Inf,-2.72057644563877,-Inf,-3.15347538971248,-Inf,-3.21061228555312,-Inf,-Inf
-6,-3.40152362619872,-Inf,-2.70837644563877,-Inf,-3.14127541411248,-Inf,-3.19841220096046,-Inf,-Inf
-5.8,-3.38972362619872,-Inf,-2.69657644563877,-Inf,-3.12947543771248,-Inf,-3.18661211914134,-Inf,-Inf
-5.6,-3.37832362619872,-Inf,-2.68517644563877,-Inf,-3.11807546051248,-Inf,-3.17521204009574,-Inf,-Inf
-5.4,-3.36732362619872,-Inf,-2.67417644563877,-Inf,-3.10707548251249,-Inf,-3.16421196382368,-Inf,-Inf
-5.2,-3.35672362619872,-Inf,-2.66357644563877,-Inf,-3.09647550371249,-Inf,-3.15361189032514,-Inf,-Inf
-5,-3.34652362619872,-Inf,-2.65337644563877,-Inf,-3.08627552411249,-Inf,-3.14341181960013,-Inf,-Inf
-4.8,-3.33672362619872,-Inf,-2.64357644563877,-Inf,-3.07647554371249,-Inf,-3.13361175164865,-Inf,-Inf
-4.6,-3.32732362619872,-Inf,-2.63417644563877,-Inf,-3.06707556251249,-Inf,-3.12421168647071,-Inf,-Inf
-4.4,-3.31832362619872,-Inf,-2.62517644563877,-Inf,-3.05807558051249,-Inf,-3.11521162406629,-Inf,-Inf
-4.2,-3.30972362619872,-Inf,-2.61657644563877,-Inf,-3.04947559771249,-Inf,-3.1066115644354,-Inf,-Inf
-4,-3.30152362619872,-Inf,-2.60837644563877,-Inf,-3.04127561411249,-Inf,-3.09841150757804,-Inf,-Inf
-3.8,-3.29372362619872,-Inf,-2.60057644563877,-Inf,-3.03347562971249,-Inf,-3.09061145349421,-Inf,-Inf
-3.6,-3.28632362619872,-Inf,-2.59317644563877,-Inf,-3.02607564451249,-Inf,-3.08321140218391,-Inf,-Inf
-3.4,-3.27932362619872,-Inf,-2.58617644563877,-Inf,-3.01907565851249,-Inf,-3.07621135364714,-Inf,-Inf
-3.2,-3.27272362619872,-Inf,-2.57957644563877,-Inf,-3.01247567171249,-Inf,-3.0696113078839,-Inf,-Inf
-3,-3.26652362619872,-Inf,-2.57337644563877,-Inf,-3.0062756841125,-Inf,-3.06341126489419,-Inf,-Inf
-2.8,-3.26072362619872,-Inf,-2.56757644563877,-Inf,-3.0004756957125,-Inf,-3.05761122467801,-Inf,-Inf
-2.6,-3.25532362619872,-Inf,-2.56217644563877,-Inf,-2.9950757065125,-Inf,-3.05221118723536,-Inf,-Inf
-2.4,-3.25032362619872,-Inf,-2.55717644563877,-Inf,-2.9900757165125,-Inf,-3.04721115256624,-Inf,-Inf
-2.2,-3.24572362619872,-Inf,-2.55257644563877,-Inf,-2.9854757257125,-Inf,-3.04261112067065,-Inf,-Inf
-2,-3.24152362619872,-Inf,-2.54837644563877,-Inf,-2.9812757341125,-Inf,-3.03841109154859,-Inf,-Inf
-1.8,-3.23772362619872,-Inf,-2.54457644563877,-Inf,-2.9774757417125,-Inf,-3.03461106520005,-Inf,-Inf
-1.6,-3.23432362619872,-Inf,-2.54117644563877,-Inf,-2.9740757485125,-Inf,-3.03121104162505,-Inf,-Inf
-1.4,-3.23132362619872,-Inf,-2.53817644563877,-Inf,-2.9710757545125,-Inf,-3.02821102082358,-Inf,-Inf
-1.2,-3.22872362619872,-Inf,-2.53557644563877,-Inf,-2.9684757597125,-Inf,-3.02561100279563,-Inf,-Inf
-1,-3.22652362619872,-Inf,-2.53337644563877,-Inf,-2.9662757641125,-Inf,-3.02341098754122,-Inf,-Inf
-0.799999999999997,-3.22472362619872,-Inf,-2.53157644563877,-Inf,-2.9644757677125,-Inf,-3.02161097506034,-Inf,-Inf
-0.599999999999998,-3.22332362619872,-Inf,-2.53017644563877,-Inf,-2.9630757705125,-Inf,-3.02021096535298,-Inf,-Inf
-0.399999999999999,-3.22232362619872,-Inf,-2.52917644563877,-Inf,-2.9620757725125,-Inf,-3.01921095841916,-Inf,-Inf
-0.199999999999999,-3.22172362619872,-Inf,-2.52857644563877,-Inf,-2.9614757737125,-Inf,-3.01861095425886,-Inf,-Inf
0,-3.22152362619872,-Inf,-2.52837644563877,-Inf,-2.9612757741125,-Inf,-3.0184109528721,-Inf,-Inf
0.200000000000003,-3.22172362619872,-2.52857644563877,-Inf,-5.7141261319317,-2.98258005147439,-7.43858718211853,-3.02358897525698,-3.18606092645427,-2.06086775172491
0.400000000000002,-3.22232362619872,-2.52917644563877,-Inf,-5.03205433698738,-3.00428432803627,-6.30048519673313,-3.03254976993578,-2.80717971818479,-2.06982854912436
0.600000000000001,-3.22332362619872,-2.53017644563877,-Inf,-4.63801196697916,-3.02638860379816,-5.66917080372308,-3.04348313531677,-2.62587459339267,-2.08076191660128
0.800000000000001,-3.22472362619872,-2.53157644563877,-Inf,-4.36210035615418,-3.04889287876004,-5.23855886284659,-3.05584809087249,-2.51754460831116,-2.09312685060379
1,-3.22652362619872,-2.53337644563877,-Inf,-4.15107514005089,-3.07179715292193,-4.91537845421532,-3.06937002411796,-2.44634290884718,-2.1066493921855
1.2,-3.22872362619872,-2.53557644563877,-Inf,-3.98121989520759,-3.09510142768282,-4.65894080265877,-3.08388190193625,-2.39730782883123,-2.12116125034384
1.4,-3.23132362619872,-2.53817644563877,-Inf,-3.83988359703826,-3.118805700246,-4.447911490091,-3.0992732091816,-2.36287760683598,-2.13655324167076
1.6,-3.23432362619872,-2.54117644563877,-Inf,-3.71951475024061,-3.14290997200935,-4.26974106865423,-3.11546396250457,-2.33875116700133,-2.15274396425457
1.8,-3.23772362619872,-2.54457644563877,-Inf,-3.6152425250905,-3.16741424297287,-4.11643834379413,-3.13239453674384,-2.3222634359072,-2.16967459044248
2,-3.24152362619872,-2.54837644563877,-Inf,-3.52374119313707,-3.19231851313656,-3.98260926569607,-3.15001896313361,-2.31166334088436,-2.18729901797168
2.2,-3.24572362619872,-2.55257644563877,-Inf,-3.4426386876095,-3.21762278250043,-3.86444619531455,-3.1683007240865,-2.30574415683402,-2.20558077983541
2.4,-3.25032362619872,-2.55717644563877,-Inf,-3.3701836020099,-3.24332705106448,-3.75916421738544,-3.18721020645592,-2.30364456925089,-2.22449026280777
2.6,-3.25532362619872,-2.56217644563877,-Inf,-3.30504593857601,-3.26943131882869,-3.66466678736937,-3.20672297363572,-2.30472628901523,-2.24400303031815
2.8,-3.26072362619872,-2.56757644563877,-Inf,-3.24619190831301,-3.29593558579309,-3.57933732705647,-3.22681856434203,-2.30850916122697,-2.26409862116963
3,-3.26652362619872,-2.57337644563877,-Inf,-3.19280203001037,-3.32283985195765,-3.50190391318195,-3.24747963226075,-2.31461972554396,-2.28475983515262
3.2,-3.27272362619872,-2.57957644563877,-Inf,-3.14421571555304,-3.35014411732239,-3.43134836517436,-3.26869131415151,-2.32276951688468,-2.30597151676965
3.4,-3.27932362619872,-2.58617644563877,-Inf,-3.0998926843589,-3.3778483818873,-3.3668433586283,-3.29044075566467,-2.3327230151903,-2.32772095806485
3.6,-3.28632362619872,-2.59317644563877,-Inf,-3.05938542343607,-3.40595264565239,-3.30770781939625,-3.31271674883142,-2.34429092542822,-2.34999695112435
3.8,-3.29372362619872,-2.60057644563877,-Inf,-3.02231910328836,-3.43445690861765,-3.25337458495286,-3.33550945038653,-2.35731796743787,-2.37278965271948
4,-3.30152362619872,-2.60837644563877,-Inf,-2.98837665134305,-3.46336117078308,-3.20336650437677,-3.35881131514303,-2.37167621921359,-2.3960903622812
4.2,-3.30972362619872,-2.61657644563877,-Inf,-2.95728747089803,-3.49266543214869,-3.15727847147617,-3.38261230132338,-2.38725615911522,-2.41989134464887
4.4,-3.31832362619872,-2.62517644563877,-Inf,-2.92881878672738,-3.52236969271447,-3.1147637112472,-3.40690669225169,-2.4039675891195,-2.44418561501088
4.6,-3.32732362619872,-2.63417644563877,-Inf,-2.90276891596482,-3.55247395248042,-3.07552316885539,-3.43168818991665,-2.42173287905409,-2.46896668537304
4.8,-3.33672362619872,-2.64357644563877,-Inf,-2.87896197210665,-3.58297821144655,-3.03929719734386,-3.45695141409965,-2.44048555617249,-2.49422973387803
5,-3.34652362619872,-2.65337644563877,-Inf,-2.85724365077684,-3.61388246961285,-3.00585897277078,-3.48269072757667,-2.4601681806089,-2.51996968128798
5.2,-3.35672362619872,-2.66357644563877,-Inf,-2.83747784246391,-3.64518672697933,-2.97500922425909,-3.5089021493871,-2.48073093306918,-2.54618066699894
5.4,-3.36732362619872,-2.67417644563877,-Inf,-2.81954388481648,-3.67689098354598,-2.94657197677407,-3.53558125205053,-2.50212986984083,-2.5728598020702
5.6,-3.37832362619872,-2.68517644563877,-Inf,-2.80333431483834,-3.7089952393128,-2.92039108233368,-3.56272418536748,-2.52432753165453,-2.60000273703953
5.8,-3.38972362619872,-2.69657644563877,-Inf,-2.78875301565831,-3.7414994942798,-2.89632737114557,-3.59032744494034,-2.54728977951661,-2.62760598881853
6,-3.40152362619872,-2.70837644563877,-Inf,-2.77571367756437,-3.77440374844697,-2.87425629465921,-3.61838778132311,-2.5709867667992,-2.65566631721072
6.2,-3.41372362619872,-2.72057644563877,-Inf,-2.76413851143836,-3.80770800181431,-2.85406596227817,-3.64690220266162,-2.595391942685,-2.68418073465179
6.4,-3.42632362619872,-2.73317644563877,-Inf,-2.7539571664856,-3.84141225438183,-2.83565549559369,-3.67586795579314,-2.62048169888736,-2.71314648003859
6.6,-3.43932362619872,-2.74617644563877,-Inf,-2.74510581452207,-3.87551650614952,-2.81893364061236,-3.70528247963648,-2.64623444481694,-2.74256102850916
6.8,-3.45272362619872,-2.75957644563877,-Inf,-2.73752637097266,-3.91002075711739,-2.80381759105133,-3.73514340050616,-2.67263128311969,-2.77242194081354
7,-3.46652362619872,-2.77337644563877,-Inf,-2.73116582879335,-3.94492500728543,-2.79023198542051,-3.76544851096249,-2.6996549352426,-2.80272793687606
7.2,-3.4807236261987202,-2.78757644563877,-Inf,-2.72597568622345,-3.98022925665364,-2.77810804805884,-3.79619575439262,-2.72729009557901,-2.83347536537397
7.4,-3.49532362619872,-2.80217644563877,-Inf,-2.72191145293764,-4.01593350522203,-2.76738276849022,-3.827383211375,-2.75552200902111,-2.86466282297502
7.6,-3.51032362619872,-2.81717644563877,-Inf,-2.71893222204966,-4.05203775299059,-2.75799858939406,-3.85900908758091,-2.78433810108371,-2.89628871721108
7.8,-3.52572362619872,-2.83257644563877,-Inf,-2.71700029770167,-4.08854199995932,-2.74990236229658,-3.89107170300617,-2.81372662899736,-2.92835133466288
8,-3.54152362619872,-2.84837644563877,-Inf,-2.71608087102722,-4.12544624612823,-2.74304519204512,-3.92356940326767,-2.84367686010358,-2.96084911607638
8.2,-3.55772362619872,-2.86457644563877,-Inf,-2.71614173009766,-4.16275049149731,-2.73738193308932,-3.95650086764295,-2.87417996603523,-2.99378058226522
8.4,-3.57432362619872,-2.88117644563877,-Inf,-2.71715301656668,-4.20045473606657,-2.73287081941303,-3.9898646259433,-2.90522476030055,-3.02714414636316
8.6,-3.59132362619872,-2.89817644563877,-Inf,-2.71908699945474,-4.238558979836,-2.72947313884232,-4.02365936879527,-2.93680423531109,-3.06093888704349
8.8,-3.60872362619872,-2.91557644563877,-Inf,-2.72191788054578,-4.2770632228056,-2.72715302674147,-4.05788386198621,-2.9689105870511,-3.09516337998539
9,-3.62652362619872,-2.93337644563877,-Inf,-2.72562162054629,-4.31596746497538,-2.72587688660388,-4.09253694079518,-3.00153573719092,-3.12981645855651
9.2,-3.64472362619872,-2.95157644563877,-Inf,-2.73017578434305,-4.35527170634533,-2.7256136510291,-4.12761750485621,-3.03467619098132,-3.16489702239084
9.4,-3.66332362619872,-2.97017644563877,-Inf,-2.73555940289526,-4.39497594691545,-2.72633427271755,-4.16312451349383,-3.06832282178063,-3.20040403081293
9.6,-3.68232362619872,-2.98917644563877,-Inf,-2.74175284965973,-4.43508018668575,-2.72801155733676,-4.19905698147939,-3.10247103271802,-3.23633649859412
9.8,-3.70172362619872,-3.00857644563877,-Inf,-2.74873772975153,-4.47558442565622,-2.73062014066474,-4.23541397516233,-3.13711559502028,-3.27269349208386
10,-3.72152362619872,-3.02837644563877,-Inf,-2.75649678029633,-4.51648866382686,-2.73413618151423,-4.27219460893721,-3.1722516411348902,-3.3094741256767
10.2,-3.74172362619872,-3.04857644563877,-Inf,-2.76501378064513,-4.55779290119768,-2.73853728051752,-4.30939795346363,-3.2078746333805,-3.34667755857992
10.4,-3.76232362619872,-3.06917644563877,-Inf,-2.77427347130234,-4.59949713776868,-2.74380248765085,-4.34702338632067,-3.2439802728392,-3.38430292070831
10.6,-3.78332362619872,-3.09017644563877,-Inf,-2.7842614805717,-4.64160137353984,-2.74991213865867,-4.38507005971347,-3.2805647258631,-3.42234959468607
10.8,-3.80472362619872,-3.11157644563877,-Inf,-2.79496425805473,-4.68410560851118,-2.75684747047429,-4.42353725046336,-3.31762422435791,-3.46081678603168
11,-3.82652362619872,-3.13337644563877,-Inf,-2.8063690142474,-4.7270098426827,-2.76459104056553,-4.46242426972198,-3.35515529633725,-3.49970380589675
11.2,-3.84872362619872,-3.15557644563877,-Inf,-2.81846366557607,-4.77031407605438,-2.77312630655585,-4.50173046084909,-3.39315468478631,-3.53900999764102
11.4,-3.87132362619872,-3.17817644563877,-Inf,-2.83123678429517,-4.81401830862624,-2.78243764127411,-4.54145519745308,-3.43161933094727,-3.57873473487283
11.6,-3.89432362619872,-3.20117644563877,-Inf,-2.84467755273965,-4.85812254039828,-2.79251026757091,-4.5815978815792,-3.47054635916651,-3.6188774196374
11.8,-3.91772362619872,-3.22457644563877,-Inf,-2.85877572148559,-4.90262677137049,-2.80333019881138,-4.62215794203236,-3.50993299285972,-3.6594374807396
12,-3.94152362619872,-3.24837644563877,-Inf,-2.8735215710251,-4.94753100154287,-2.81488418446282,-4.66313483282235,-3.54977682315985,-3.70041437218919
12.2,-3.96572362619872,-3.27257644563877,-Inf,-2.88890587660722,-4.99283523091543,-2.82715966026376,-4.70452803172094,-3.59007537564582,-3.74180757175791
12.4,-3.99032362619872,-3.29717644563877,-Inf,-2.90491987593609,-5.03853945948816,-2.84014470252021,-4.74633703892128,-3.63082638126311,-3.78361650138641
12.6,-4.01532362619872,-3.32217644563877,-Inf,-2.92155523945209,-5.08464368726106,-2.85382798612654,-4.78856137579076,-3.67202769645541,-3.82584083825589
12.8,-4.04072362619872,-3.34757644563877,-Inf,-2.93880404295228,-5.13114791423414,-2.8681988124684,-4.83120058370975,-3.71367729445773,-3.86848004617489
13,-4.06652362619872,-3.37337644563877,-Inf,-2.95665874233247,-5.17805214040739,-2.88324680790942,-4.87425422298909,-3.75577325731563,-3.91153368545423
13.2,-4.09272362619872,-3.39957644563877,-Inf,-2.97511215025684,-5.22535636578081,-2.89896228977394,-4.91772304463623,-3.79831376856034,-3.95500133432494
13.4,-4.11932362619872,-3.42617644563877,-Inf,-2.99415741458116,-5.27306059035441,-2.91533594326101,-4.96160430782636,-3.84129710647661,-3.9988825879947
13.6,-4.14632362619872,-3.45317644563877,-Inf,-3.01378799837402,-5.32116481412818,-2.93235896839312,-5.00589878721954,-3.88472163790761,-4.04317705776558
13.8,-4.17372362619872,-3.48057644563877,-Inf,-3.03399766139609,-5.36966903710213,-2.95002289067424,-5.05060610938658,-3.9285867823084,-4.08788437020839
14,-4.20152362619872,-3.50837644563877,-Inf,-3.05478044291162,-5.41857325927625,-2.96831964644506,-5.09572591539361,-3.97288913726019,-4.13300416638926
14.2,-4.22972362619872,-3.53657644563877,-Inf,-3.076130645719,-5.46787748065054,-2.98724153314292,-5.14125786007705,-4.01762826279969,-4.17853610114462
14.4,-4.25832362619872,-3.56517644563877,-Inf,-3.09804282129807,-5.51758170122501,-3.00678118860154,-5.18720161136323,-4.0628028271508,-4.22447984240078
14.6,-4.28732362619872,-3.59417644563877,-Inf,-3.12051175598183,-5.56768592099965,-3.02693157180432,-5.23355425265801,-4.10841156259943,-4.27083507053504
14.8,-4.31672362619872,-3.62357644563877,-Inf,-3.14353245806909,-5.61819013997447,-3.04768591800344,-5.2803206497724,-4.15445326163629,-4.31760147777518
15,-4.34652362619872,-3.65337644563877,-Inf,-3.16710014580221,-5.66909435814945,-3.06903782927629,-5.32749792938227,-4.20092677337894,-4.36477979810719
15.2,-4.37672362619872,-3.68357644563877,-Inf,-3.19121023614143,-5.72039857552462,-3.09098109902358,-5.37508580575495,-4.24783100024942,-4.41236769529091
15.4,-4.40732362619872,-3.71417644563877,-Inf,-3.21585833427315,-5.77210279209995,-3.11350980344283,-5.42308400341082,-4.29516489488613,-4.46036591398352
15.6,-4.43832362619872,-3.74517644563877,-Inf,-3.24104022379553,-5.82420700787546,-3.13661826160796,-5.4714922566511,-4.34292737474928,-4.50877418848626
15.8,-4.46972362619872,-3.77657644563877,-Inf,-3.26675185752976,-5.87671122285115,-3.16030102277393,-5.52031030911247,-4.39111764884472,-4.55759226243581
16,-4.50152362619872,-3.80837644563877,-Inf,-3.29298934890952,-5.929615437027,-3.18455396468025,-5.56953922868373,-4.43973472215198,-4.60681988838377
16.2,-4.53372362619872,-3.84057644563877,-Inf,-3.31974896390599,-5.98291965040303,-3.20936984955329,-5.61917615670721,-4.48877772134227,-4.65645682739946
16.4,-4.56632362619872,-3.87317644563877,-Inf,-3.34702711344865,-6.03662386297924,-3.23474495134926,-5.66922216688616,-4.538245810762,-4.7065028486944
16.6,-4.59932362619872,-3.90617644563877,-Inf,-3.37482034630612,-6.09072807475562,-3.26067462845417,-5.71967703621915,-4.58813819040284,-4.75695772926716
16.8,-4.63272362619872,-3.93957644563877,-Inf,-3.40312534239379,-6.14523228573217,-3.28715441699478,-5.77054054915565,-4.63845295383288,-4.8078212535672
